,id,teamId,competition
0,177959212,1609,England
1,177959247,1631,England
2,177959280,1631,England
3,177959289,1609,England
4,177959429,1609,England
5,177959606,1609,England
6,177959611,1609,England
7,177959714,1609,England
8,177959740,1609,England
9,177959749,1609,England
10,177959759,1631,England
11,177959853,1631,England
12,177959948,1609,England
13,177960131,1609,England
14,177960130,1609,England
15,177960206,1609,England
16,177960274,1631,England
17,177960369,1631,England
18,177960379,1631,England
19,177960382,1609,England
20,177960457,1609,England
21,177960557,1609,England
22,177960594,1609,England
23,177960609,1609,England
24,177960681,1609,England
25,177960688,1609,England
26,177960697,1609,England
27,177960786,1609,England
28,177960827,1609,England
29,177960831,1609,England
30,177960849,1609,England
31,177960899,1609,England
32,177960902,1609,England
33,177961036,1609,England
34,178147383,1625,England
35,178147515,1625,England
36,178147599,1625,England
37,178147857,1625,England
38,178147864,1625,England
39,178148040,1651,England
40,178148051,1625,England
41,178148089,1625,England
42,178148227,1625,England
43,178148269,1625,England
44,178148296,1651,England
45,178148303,1651,England
46,178148310,1651,England
47,178148311,1651,England
48,178148315,1651,England
49,178148363,1625,England
50,178148512,1625,England
51,178148575,1625,England
52,178122128,1646,England
53,178122290,1610,England
54,178122511,1646,England
55,178122670,1610,England
56,178122911,1646,England
57,178122800,1610,England
58,178122930,1646,England
59,178122852,1610,England
60,178122857,1610,England
61,178122950,1646,England
62,178123016,1610,England
63,178123047,1610,England
64,178123128,1610,England
65,178123204,1646,England
66,178123216,1610,England
67,178123237,1610,England
68,178123253,1610,England
69,178123325,1646,England
70,178123328,1610,England
71,178123460,1646,England
72,178123463,1610,England
73,178123532,1610,England
74,178123586,1610,England
75,178123618,1646,England
76,178203881,1673,England
77,178205427,1673,England
78,178204233,1673,England
79,178204317,1673,England
80,178204327,1628,England
81,178204397,1673,England
82,178204462,1628,England
83,178204570,1628,England
84,178204609,1628,England
85,178613773,1628,England
86,180597338,1673,England
87,178204696,1673,England
88,178204854,1628,England
89,178204898,1628,England
90,178205094,1628,England
91,178205191,1628,England
92,178205146,1673,England
93,178205261,1628,England
94,178205277,1628,England
95,178214801,1623,England
96,178214652,1639,England
97,178214661,1639,England
98,178215005,1623,England
99,178215090,1623,England
100,178214880,1639,England
101,178214895,1639,England
102,178215655,1623,England
103,178215088,1639,England
104,178215822,1623,England
105,178215274,1639,England
106,178215908,1623,England
107,178215997,1623,England
108,178216026,1623,England
109,178215488,1639,England
110,178215659,1639,England
111,178215667,1639,England
112,178215756,1639,England
113,178494555,1611,England
114,178494630,1611,England
115,178494646,1611,England
116,178494821,1611,England
117,178494830,1611,England
118,178494917,1611,England
119,178494948,1611,England
120,178495072,1633,England
121,178495024,1611,England
122,178495136,1633,England
123,178495214,1633,England
124,178495289,1611,England
125,178495325,1611,England
126,178495431,1633,England
127,178495454,1611,England
128,178495462,1611,England
129,178495479,1611,England
130,178495494,1611,England
131,178496002,1611,England
132,178496028,1611,England
133,178495622,1611,England
134,178495679,1611,England
135,178495779,1633,England
136,178495872,1611,England
137,178495924,1611,England
138,178495975,1633,England
139,178495956,1611,England
140,178496014,1633,England
141,178442509,1613,England
142,178442326,1624,England
143,178442483,1624,England
144,178442583,1624,England
145,178442682,1624,England
146,178442821,1624,England
147,178442956,1624,England
148,178442965,1624,England
149,178444076,1624,England
150,178443159,1624,England
151,178443225,1613,England
152,178443269,1624,England
153,178443347,1624,England
154,178443456,1624,England
155,178443472,1624,England
156,178443477,1624,England
157,178443622,1624,England
158,178443741,1624,England
159,178443839,1613,England
160,178443884,1613,England
161,178443938,1613,England
162,178444034,1624,England
163,178218714,1619,England
164,178218726,1619,England
165,178218750,1619,England
166,178218961,10531,England
167,178218921,1619,England
168,178218952,1619,England
169,178218986,1619,England
170,178219017,1619,England
171,178219065,1619,England
172,178219196,1619,England
173,178219197,1619,England
174,178219216,1619,England
175,178219224,1619,England
176,178219653,10531,England
177,178219655,10531,England
178,178219508,1619,England
179,178219510,1619,England
180,178219732,10531,England
181,178219555,1619,England
182,178219695,1619,England
183,178219702,1619,England
184,178219820,1619,England
185,178219868,1619,England
186,178219995,1619,England
187,178220004,1619,England
188,178220083,1619,England
189,178220156,1619,England
190,178220183,1619,England
191,178220220,1619,England
192,178082823,1644,England
193,178082827,1644,England
194,178083305,1612,England
195,178083275,1644,England
196,178083362,1644,England
197,178083445,1612,England
198,178083623,1612,England
199,178083690,1612,England
200,178083830,1612,England
201,178083960,1612,England
202,178083966,1612,England
203,178084043,1612,England
204,178084082,1612,England
205,178084175,1644,England
206,178084227,1612,England
207,178084386,1612,England
208,178084495,1644,England
209,178084506,1644,England
210,178084519,1644,England
211,178084532,1612,England
212,178216601,1627,England
213,178216643,1627,England
214,178216654,1627,England
215,178216690,1627,England
216,178216693,1627,England
217,178216791,1627,England
218,178216810,1627,England
219,178216844,1627,England
220,178216921,1627,England
221,179445156,1627,England
222,179445157,1627,England
223,178217462,1659,England
224,178217572,1659,England
225,178217276,1627,England
226,178217341,1627,England
227,178217761,1659,England
228,178217766,1659,England
229,178217918,1659,England
230,178217969,1659,England
231,178218026,1659,England
232,178217682,1627,England
233,178217690,1627,England
234,178217834,1627,England
235,178218153,1659,England
236,180122394,1644,England
237,180122466,1659,England
238,180122686,1659,England
239,180122571,1644,England
240,180123087,1659,England
241,180123097,1659,England
242,180123921,1644,England
243,180122877,1644,England
244,180122980,1644,England
245,180123577,1659,England
246,180123022,1644,England
247,180123178,1644,England
248,180123187,1644,England
249,180123222,1644,England
250,180123310,1644,England
251,180123333,1644,England
252,180123334,1644,England
253,180123368,1644,England
254,180123400,1644,England
255,180123816,1659,England
256,180123481,1644,England
